Bird ID,Expl. Nov. Envir.,Expl. Fam. Envir.,Obj. Neo. 1 (s),Food Neo. (s),Obj. Neo. 2 (s),Obj. Neo. 3 (s),Sociability 1,Sociability 2,Baseline Cort. (ng/ml),Stress-Ind. Cort. (ng/ml),Lat. Eat Disc. Dev. 1 (s),Lat. Eat Disc. Dev. 2 (s),Lat. Eat PS Dev. 1 (Soc.) (s),Lat. Eat PS Dev. 2 (Soc.) (s),Lat. Eat SM Dev. 1 (Soc.) (s),Lat. Eat SM Dev. 2 (Soc.) (s),Lat. Eat PS Dev. 1 (Ind.) (s),Lat. Eat PS Dev. 2 (Ind.) (s),Lat. Eat SM Dev. 1 (Ind.) (s),Lat. Eat SM Dev. 2 (Ind.) (s),# Trials to eat PS Dev. ,Prop. Succ. Trials PS 1,Prop. Succ. Trials PS 2,Prop. Succ. Trials PS 3,PS Score,Disc. Eff. 1 (%),Disc. Eff. 2 (%),Disc. Eff. 3 (%),Disc. Eff. 4 (%),Disc. Eff. 5 (%),# Trials to reach Max. Disc. Eff.,Max. Disc. Eff.  (%),Max. Disc. Improv. (%),DR Score,# Trials to reach detour,# Err. SM 1,# Err. SM 2,# Err. SM 3,# Err. SM 4,# Err. SM 5,Av. # Err. SM,Resp. PS Task,Resp. Seed Disc. Task,Resp. DR Task,Resp. SM Task,Age soc. Hab (months),Age Ind. Hab. PS Dev. (months),Age PS Task (months),Age Seed Disc. Task (months),Age Ind. Hab. SM Dev. (months),Age SM Task (months),Age DR Task (months)
118,0.5,0.5,1200,1200,51,7,,0.901387819,NA,11.40368,600,600,1200,421,164,262,1200,1200,471,1028,7,0.75,0.25,0.25,4.3125,20,0,NA,NA,NA,NA,,NA,0.7,1,1,1,0,2,NA,1,RESP,UNRESP,RESP,RESP,6,6,6,13,12,13,13
119,0.083333333,0.083333333,147,184,600,600,0.544331054,0,4.1972,12.4484,600,600,619,278,191,18,1200,1200,2700,2700,7,0,0,0,0.125,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,RESP,UNRESP,UNRESP,NA,3,3,4,16,16,NA,16
120,0.583333333,0.916666667,64,49,27,154,0.675862503,0.831479419,2.56552,18.30892,600,600,36,12,0,57,89,201,2700,264,1,1,0.75,0.75,14.5,0,42.35294118,29.72972973,42.55319149,46.875,5,46.875,46.875,0.8,1,1,3,NA,NA,1,0.5,RESP,RESP,RESP,RESP,3,3,4,13,12,12,12
121,0.083333333,0.416666667,1200,1200,600,0,1.170628195,0.608580619,4.40724,11.89124,600,1,1200,1200,2,0,1200,1200,13,0,17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,,NA,1,1,20,NA,0,NA,NA,10,NA,UNRESP,RESP,RESP,5,5,NA,12,12,12,12
122,0.25,0.25,1200,1200,600,179,1.295767088,1.895413568,5.77368,14.11204,600,600,1200,1200,230,156,925,858,2700,246,1,0,0,0.75,7.4375,NA,NA,NA,NA,NA,NA,,NA,0.9,1,3,1,0,NA,NA,1.333333333,RESP,UNRESP,RESP,RESP,7,7,7,14,13,13,13
123,0.083333333,0.25,1200,1200,180,11,0.544331054,0.702728369,0.40604,9.93264,600,600,1200,1200,9,0,25,1200,452,2476,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,0,0,0,0,0,NA,UNRESP,UNRESP,RESP,7,7,NA,8,12,12,13
124,0.083333333,0.25,1200,1200,600,180,0.655743852,0.774596669,1.68036,8.93848,338,291,1200,1200,157,3,10,15,2700,172,1,0,0,0,0.125,21.73913043,43.18181818,46.15384615,37.16814159,29.29936306,3,46.1538462,24.41471572,NA,NA,NA,9,5,NA,0,4.666666667,RESP,RESP,UNRESP,RESP,6,6,6,14,13,13,13
125,0.416666667,0.916666667,454,1,9,0,0.2,0.774596669,6.81868,26.2126,0,0,1200,1200,8,0,1200,740.5,3,2700,4,0,0,0,0,36.28318584,36.09022556,54.16666667,40,42.05607477,3,54.1666667,5.772888926,0.7,2,NA,NA,NA,15,NA,15,UNRESP,RESP,RESP,RESP,7,7,7,8,14,16,9
126,0.416666667,1,52,13,600,1200,0,0.314269681,1.83928,5.11036,600,600,303,14,2700,2700,788.8333333,39,2700,2700,1,0,0,0,0.8125,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,RESP,UNRESP,UNRESP,NA,3,3,4,12,12,NA,13
127,0.916666667,0.5,1200,1200,130,128,0.223606798,1.024695077,NA,5.34968,32,17,1200,1200,0,2,1200,39,2700,157,2,0,0,0,1.25,47.77777778,50.53763441,48,52,47.95918367,4,52,4.222222222,NA,NA,0,0,0,0,0,0,RESP,RESP,UNRESP,RESP,7,7,8,8,15,16,9
128,0.666666667,0.166666667,1200,1200,161,46,0,0.583095189,7.00264,2.98948,2,3,1200,1200,1,0,17,512,2700,311,1,0.75,0,0.625,8.125,12.21945137,23.41463415,22.0657277,46.75324675,58.2278481,5,58.2278481,46.00839673,0.4,6,5,2,2,NA,NA,3,RESP,RESP,RESP,RESP,7,7,7,8,14,14,8
129,0.083333333,0.833333333,1200,1200,600,1200,,0.684653197,4.05756,8.2924,169,65,1200,1200,1222,9,1200,61,2700,2700,2,0,0,0,0,27.02702703,32.45033113,41.52542373,66.21621622,55.68181818,4,66.2162162,39.18918919,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,RESP,UNRESP,NA,7,7,7,11,10,NA,11
130,0.337301587,0.75,1200,1200,0,0,1.077262191,1.201850425,5.715,1.54508,0,0,1200,115,1224,8,1200,1200,2,0,3,0,0,0,0,45.71428571,54.94505495,26.08695652,34.48275862,83.87096774,5,83.8709677,38.15668203,0.4,2,1,0,NA,NA,NA,0.5,UNRESP,RESP,RESP,RESP,6,6,7,11,10,13,12
131,0.166666667,0.166666667,1200,1200,180,1200,,0.992156742,2.23284,5.30528,600,600,106,1200,509,48,1200,1200,2700,2700,5,0,0,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,UNRESP,NA,7,8,8,8,10,NA,11
132,0.166666667,0.083333333,1200,1200,180,152,,2.065338955,2.41636,5.7148,19,85,1200,1025,703,13,1200,1200,2700,2700,8,0,0,0,0.1875,5.128205128,16.66666667,2.631578947,NA,NA,2,16.6666667,11.53846154,NA,NA,NA,NA,NA,NA,NA,NA,RESP,RESP,UNRESP,NA,7,7,8,8,10,NA,11
133,0.25,0.166666667,1200,1200,600,1200,0.959166305,0,5.53224,31.55028,600,600,323,104,20,27,1200,1200,2344,2700,6,0,0,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,1,NA,1,NA,1,UNRESP,UNRESP,UNRESP,RESP,3,3,4,16,15,16,16
134,0.583333333,1,234,182,70,110,0.331662479,0.173205081,3.92752,8.13076,600,600,75,26,344,34,640.0769231,130,224,138,2,1,0.75,0.125,9.4375,100,NA,NA,NA,NA,NA,,NA,NA,NA,1,14,3,NA,11,7.25,RESP,UNRESP,UNRESP,RESP,3,3,4,16,15,16,16
135,0.5,0.083333333,1200,71,600,600,1.174734012,0.529150262,3.63708,8.50164,600,600,127,160,451,18,48,103,2700,2700,1,0,0,0,0.4375,NA,NA,NA,NA,NA,NA,,NA,NA,NA,1,NA,0,1,0,0.5,RESP,UNRESP,UNRESP,RESP,5,5,5,18,16,16,16
136,0.083333333,0.083333333,1074,1200,180,1200,0.471404521,1.865872847,NA,11.43188,600,600,2,6,19,34,206,673,2700,2480,1,0,0,0,0.5,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,0,0,RESP,UNRESP,UNRESP,RESP,5,5,5,11,11,12,11
137,0.666666667,1,27,4,27,1200,0.346410162,0.774596669,6.19388,15.19288,600,166,147,75,38,102,1117,15,22,17,1,0,0,0,0.1875,20.20725389,35.8778626,32.47863248,49.41176471,61.53846154,5,61.5384615,41.33120765,0.8,2,NA,2,NA,NA,3,2.5,RESP,RESP,RESP,RESP,6,6,6,15,13,14,14
138,0.333333333,0.5,1200,1200,204,1104,0.6164414,0.754983444,2.81396,16.4638,600,600,22,107,67,30,16,2,2700,2700,1,1,1,0,0,NA,NA,NA,NA,NA,NA,,NA,0.3,2,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,RESP,RESP,6,6,6,16,15,16,16
139,0.166666667,1,4,0,3,1,0.424264069,1.232882801,0.77916,10.0122,0,0,51,46,7,24,6,19,5,1,1,0,1,0.75,9.5,39.16666667,30.81761006,36.36363636,45.91836735,51.08695652,5,51.0869565,11.92028986,1,1,0,1,0,0,1,0.4,RESP,RESP,RESP,RESP,6,6,6,14,13,13,14
140,0.333333333,0.25,1200,1200,600,1200,0.678232998,0.81240384,1.35176,12.31352,600,600,78,106,37,26,640.0769231,1200,2700,2700,4,0,0,0,0,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,0,1,0,0,NA,0.25,UNRESP,UNRESP,NA,RESP,3,3,4,16,13,14,NA
141,1,1,32,15,600,18,1.088662108,2.165954299,5.78344,11.02644,16,8,1200,1200,0,0,21,35,0,68,1,0,0,0,0.125,37.20930233,27.43902439,21.58590308,27.71084337,24.36548223,1,37.2093023,-9.498458952,0.3,4,2,0,0,0,2,0,RESP,RESP,RESP,RESP,7,7,7,12,12,12,12
142,0.083333333,0.083333333,1200,1200,0,5,,1.280868846,3.39396,10.07624,0,0,132,1200,0,55,96,1200,1327,0,1,0,0,0,0,30.32258065,31.94444444,30.48780488,21.77777778,26.63043478,2,31.9444444,1.621863799,0.7,2,2,4,NA,NA,5,3.666666667,UNRESP,RESP,RESP,RESP,5,5,5,12,12,12,12
143,0.916666667,0.75,226,2,0,0,,1.145643924,16.63412,14.03168,0,1,69,1200,38,28,273,1200,189,3,1,0,0,0,1.375,11.73913043,50.58823529,31.06060606,27.84090909,35.53719008,2,50.5882353,38.84910486,0.7,1,0,0,1,0,0,0.2,RESP,RESP,RESP,RESP,7,7,8,8,10,16,11
144,0.083333333,0.083333333,1200,1200,600,1200,0.1,0.141421356,,7.3106,600,600,1200,1200,1936,77,1200,1200,2700,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,NA,5,5,NA,16,16,NA,16
146,0.916666667,1,399,0,0,0,0.75359222,0.509175077,0.03564,9.80508,21,3,0,1200,0,0,312,1200,965,2700,1,0.75,0,0,4.625,13.60759494,20.3125,0,29.8013245,42.85714286,5,42.8571429,29.24954792,0.8,2,NA,NA,NA,NA,NA,NA,RESP,RESP,RESP,NA,7,7,8,8,13,NA,13
147,0.333333333,0.5,1200,1200,41,270,0,0.244948974,0.6494,18.49536,1,36,506,54,44,2700,1200,1200,2700,2700,3,0,0.125,0,1.875,42.10526316,62.26415094,71.42857143,46.93877551,55.55555556,3,71.42857143,13.4502924,0.8,2,4,NA,NA,NA,NA,4,RESP,RESP,RESP,RESP,3,3,4,18,16,16,18
148,0.166666667,0.166666667,26,1200,NA,NA,NA,NA,NA,NA,NA,NA,43,9,NA,NA,1200,1200,NA,NA,4,0,0,0,0,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,NA,NA,NA,4,5,5,NA,NA,NA,NA
149,0.25,1,1,0,0,49,0.489897949,0.1,2.15632,8.6658,0,0,15,709,0,0,0,69,77,10,1,0.25,1,0,4.6875,50,47.52475248,61.33333333,74.07407407,53.08641975,4,74.0740741,24.07407407,0.7,2,2,3,2,1,3,2.2,RESP,RESP,RESP,RESP,6,6,6,8,16,16,8
150,1,1,1200,289,15,556,0.141421356,0.663324958,6.673,11.10868,600,589,31,40,0,1884,320,159,1614.153846,2700,1,0,0,0,0,28.88888889,41.37931034,66.66666667,41.66666667,83.33333333,3,66.6666667,37.77777778,0.6,1,NA,NA,NA,NA,NA,NA,UNRESP,RESP,RESP,RESP,7,7,7,16,16,16,16
151,0.083333333,0.25,18,176,243,32,0,0.173205081,3.81168,25.65316,18,37,48,77,51,77,47,70,45,52,1,0,0,0,0.625,39.75903614,28.57142857,31.08108108,37.09677419,53.16455696,5,53.164557,13.40552082,0.6,1,1,2,0,3,2,1.6,RESP,RESP,RESP,RESP,3,3,4,13,13,13,13
152,0.166666667,0.166666667,1200,1200,600,1200,0,0.360555128,4.4904,7.62268,600,600,1200,1200,2700,2700,1200,1200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,NA,6,6,NA,14,13,NA,14
153,0.25,1,1200,1200,600,1200,0.734846923,1.166190379,3.57528,11.22684,600,600,1200,1200,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,0,NA,NA,1,NA,0.5,NA,UNRESP,UNRESP,RESP,7,,NA,14,13,13,14
155,0.166666667,0.083333333,18,200,600,30,,0.433012702,4.75924,13.58856,600,600,485,39,165,854,113,1200,2700,2700,2,0,0,0,0,NA,NA,NA,NA,NA,NA,,NA,0.6,1,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,RESP,NA,3,3,4,13,13,,13
156,1,0.083333333,359,1200,253,632,,0.661437828,2.67376,11.05128,97,82,586,280,1173,43,1200,1200,1992,40,4,0,0,0,0.375,42.85714286,78.57142857,46.66666667,75,63.15789474,2,78.5714286,35.71428571,0.7,2,NA,NA,NA,NA,NA,NA,RESP,RESP,RESP,RESP,3,3,4,12,10,11,12
157,0.083333333,1,0,0,1,0,0.519615242,0.1,NA,18.2012,0,321.5789474,19,45,0,0,1,753.025641,0,0,1,1,1,1,18,25.90673575,25,18.58736059,23.36448598,18.35205993,1,25.9067358,-0.906735751,1,1,5,9,0,0,0,2.8,RESP,RESP,RESP,RESP,6,6,6,13,13,13,13
158,0.333333333,1,115,36,69,94,0.866025404,1.549193338,3.462,7.956,600,69,1200,187,8,0,43,1200,2700,328,1,0,0,0,0.9375,20.86956522,28.38709677,29.05405405,29.74683544,36.84210526,5,36.8421053,15.97254005,0.6,1,NA,NA,3,NA,1,2,RESP,RESP,RESP,RESP,6,6,7,13,12,12,12
159,1,0.833333333,1200,1200,180,1200,0.4,0.1,4.58964,19.2248,600,600,85,81,56,9,1200,1200,2700,2700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UNRESP,UNRESP,NA,7,7,NA,8,15,NA,8
160,0.916666667,0.083333333,108,20,600,1200,1.140175425,0.4,4.2312,5.58948,600,600,13,15,357.45,35,2,7,2700,2700,1,0,0,0,0.1875,NA,NA,NA,NA,NA,NA, ,NA,NA,NA,NA,NA,NA,NA,NA,NA,RESP,UNRESP,UNRESP,NA,4,5,5,16,15,NA,16
161,0.083333333,1,226,1200,55,50,,1.280868846,3.92576,4.51164,2,3,1200,1060,24,37,876,1200,821,88,1,0,0,0,0,20,20,60,40,57.14285714,3,60,40,0.8,1,8,0,0,0,NA,2,UNRESP,RESP,RESP,RESP,7,7,8,8,10,16,9