Semester,hrs.sleep.weekly,cups.caffeine.weekly,hrs.exercise.weekly,hrs.work.weekly,hrs.screentime.weekly
201910,45,6,3,21,20
201910,49,10,0,15,14
201910,46,14,2.5,15,30
201910,48,5,2,22,35
201910,49,1,3,10,25
201910,42,0,15,32,30
201910,50,2,4,12,12
201910,42,6,4,6.5,14
201910,20,2,4,24,98
201910,50,8,0,40,55
201910,49,2,2,12,25
201910,56,10,10,16,30
201910,49,6,3,24,14
201910,40,6,21,4,21
201910,56,14,4,39,20
201910,42,0,10.5,20,10.5
201910,45,28,5,20,20
201910,49,7,0,40,28
201910,50,21,10,25,30
201910,56,21,10,15,14
201910,46,16,3,16,20
201910,56,2,10,24,14
201910,35,8,10,27,12
201910,38,4,6,35,25
201910,56,6,7,28,30
201910,56,0,4,17,42
201910,53,9,3,27,38
201910,40,4,10,25,30
201910,42,5,3,24,35
201910,50,2,5,25,25
201920,42,6,0,0,40
201920,42,0,0,20,50
201920,47,3,0,18,50
201920,43,3,0,20,55
201920,49,7,14,30,35
201920,42,0,7.5,36,42
201920,56,1,0,0,40
201920,50,10,4,25,20
201920,45.5,7,30,40,40
201920,49,7,30,25,40
201920,40,15,0,20,28
201920,45.5,0,12,28,28
201920,35,0,15,0,48
201920,50,0,4,25,20
201920,49,0,3,45,28
201920,42,7,5,10,30
201920,42,3,5,20,32
201920,59,1,0,15,89
201920,42,21,7,0,28
201920,50,15,5,30,30
201920,38,7,0,16,40
201920,45,3,7,15,50
201920,42,0,5,21,42
201920,54,3,12,40,25
201920,45,42,0,5.5,84