pressure,time pressure,delay,time delay,sex,age,education,particip
4,103.708,,,1,30,5,2
6,95.276,,,2,46,6,1
6,78.014,,,1,31,6,2
2,76.758,,,2,24,6,2
6,73.287,,,1,29,4,1
11,67.76,,,1,26,6,5
6,65.026,,,1,46,5,2
1,64.455,,,1,33,6,2
2,59.694,,,2,34,5,2
11,55.913,,,1,62,5,4
1,55.155,,,2,25,6,3
1,54.031,,,1,31,5,2
4,52.676,,,1,24,3,3
6,51.427,,,1,28,5,2
3,49.235,,,1,35,5,2
3,47.142,,,1,50,5,4
1,46.22,,,1,65,5,3
3,45.355,,,1,54,5,3
1,45.168,,,1,43,6,1
1,45.037,,,1,24,6,2
11,44.123,,,2,36,6,4
1,42.328,,,2,34,6,1
2,42.214,,,2,40,5,2
2,41.263,,,2,47,5,2
1,40,,,2,32,6,1
6,39.939,,,1,36,6,1
1,39.817,,,2,28,6,1
2,39.111,,,1,23,5,1
6,38.115,,,1,33,6,3
2,38.085,,,1,29,6,4
6,37.064,,,1,27,6,2
1,36.448,,,1,34,6,2
2,36.341,,,2,23,6,3
4,36.012,,,2,40,5,2
4,35.967,,,1,37,5,4
6,35.468,,,1,39,5,5
5,34.8,,,1,24,6,2
1,34.388,,,1,28,5,1
4,32.957,,,2,25,5,4
1,32.776,,,1,35,6,2
1,32.693,,,1,27,6,2
2,32.568,,,1,24,5,1
1,31.744,,,1,34,5,3
1,31.358,,,2,18,2,2
6,30.325,,,1,23,5,4
1,30.017,,,1,22,5,1
2,28.717,,,1,38,5,1
6,28.607,,,2,44,5,1
6,28.455,,,2,27,6,2
1,27.733,,,1,27,5,1
5,27.587,,,1,31,5,2
6,27.189,,,1,21,5,3
9,26.74,,,1,31,5,4
1,26.213,,,1,22,4,2
1,24.867,,,1,28,6,4
1,24.796,,,1,31,6,2
6,24.634,,,1,37,6,2
11,22.866,,,1,28,5,4
1,22.752,,,2,25,5,5
1,22.714,,,1,43,5,1
6,22.512,,,2,37,6,1
1,22.214,,,1,26,5,1
11,21.472,,,1,27,5,2
1,21.338,,,1,28,5,1
7,21.133,,,1,26,5,4
2,21.054,,,1,29,6,2
1,20.94,,,1,34,5,2
5,20.698,,,1,28,6,1
3,20.472,,,1,23,5,2
2,20.368,,,1,24,5,1
1,20.314,,,2,31,6,3
6,19.722,,,1,33,6,2
6,19.306,,,1,31,6,2
1,19.177,,,1,22,6,4
4,18.909,,,1,29,6,2
2,18.618,,,1,35,5,2
6,17.965,,,2,42,6,2
4,17.786,,,1,21,4,1
1,17.779,,,1,39,5,5
1,17.72,,,1,34,6,5
1,17.519,,,1,46,6,1
6,17.432,,,1,21,6,5
1,17.363,,,2,29,5,4
4,17.141,,,2,42,5,3
5,16.894,,,2,61,5,2
6,16.619,,,1,25,6,2
1,16.365,,,1,48,6,2
5,16.29,,,1,33,5,2
4,15.878,,,1,23,5,5
3,15.873,,,1,21,4,2
5,15.05,,,1,37,6,1
1,14.573,,,1,32,5,4
1,14.517,,,1,24,5,2
11,14.505,,,2,24,5,1
11,14.152,,,1,35,5,2
6,14.009,,,2,35,6,2
1,13.493,,,1,22,5,1
11,13.491,,,1,23,5,3
6,13.437,,,2,26,5,3
5,13.431,,,2,24,5,2
11,13.298,,,2,27,5,2
1,13.296,,,2,39,5,3
1,13.213,,,2,53,5,1
6,13.21,,,1,36,5,1
11,13.186,,,1,26,5,4
2,13.18,,,2,39,5,2
3,13.16,,,2,27,5,4
1,13.085,,,1,23,5,1
1,12.882,,,1,57,5,4
4,12.845,,,1,21,4,2
5,12.698,,,1,23,5,2
1,12.635,,,1,24,5,3
2,12.614,,,2,35,4,2
10,12.544,,,1,31,6,3
3,12.516,,,2,37,5,5
1,12.25,,,2,32,5,5
1,12.063,,,1,26,5,1
1,11.878,,,1,70,5,4
11,11.819,,,1,45,6,4
10,11.809,,,1,26,6,2
5,11.765,,,2,40,5,3
5,11.755,,,1,22,6,5
11,11.752,,,1,33,6,4
1,11.58,,,2,55,5,1
4,11.48,,,1,30,4,1
1,11.405,,,1,25,5,1
1,11.368,,,2,24,6,3
7,11.128,,,1,26,6,2
1,10.907,,,1,44,6,1
1,10.79,,,2,35,5,2
6,10.015,,,2,33,6,2
1,9.968,,,2,26,5,4
1,9.955,,,1,27,5,1
11,9.864,,,1,34,6,4
8,9.619,,,2,24,6,1
1,9.59,,,1,25,6,5
11,9.428,,,2,48,6,3
1,9.371,,,1,23,5,5
6,9.339,,,1,31,4,3
1,9.331,,,1,29,6,2
2,9.312,,,2,43,5,3
5,9.23,,,2,59,6,2
3,9.21,,,1,37,6,3
1,9.041,,,2,31,6,4
6,9.015,,,1,43,6,3
1,8.965,,,2,24,5,2
6,8.889,,,1,47,4,2
1,8.874,,,1,22,5,3
6,8.711,,,1,23,5,2
6,8.646,,,1,25,6,3
4,8.612,,,1,26,6,2
4,8.562,,,1,31,5,5
6,8.471,,,1,37,6,4
2,8.432,,,1,35,5,3
9,8.27,,,1,23,5,2
3,8.227,,,1,24,6,4
9,7.879,,,1,24,5,5
4,7.837,,,1,30,5,2
1,7.833,,,2,28,6,5
1,7.807,,,1,25,5,3
1,7.76,,,1,31,6,5
1,7.661,,,1,29,5,4
5,7.547,,,1,35,6,4
6,7.22,,,2,33,5,3
6,7.114,,,2,33,5,3
1,6.745,,,1,34,6,2
1,6.322,,,2,43,6,3
1,6.29,,,1,30,6,4
11,6.274,,,1,29,5,1
2,5.703,,,1,29,5,4
11,5.611,,,1,25,6,5
1,5.439,,,1,30,6,1
2,5.419,,,1,20,2,4
1,5.074,,,1,25,5,2
1,4.817,,,2,29,6,4
6,4.765,,,1,26,5,1
1,4.598,,,2,42,5,1
1,4.528,,,1,32,5,2
3,4.236,,,2,28,5,4
1,4.178,,,2,29,5,1
6,4.092,,,1,33,5,3
1,4.03,,,1,23,3,2
4,3.962,,,2,32,6,1
4,3.822,,,1,29,6,4
11,3.79,,,1,28,6,4
1,3.632,,,2,27,6,1
2,3.502,,,2,33,6,3
1,3.498,,,1,32,6,1
1,3.341,,,2,28,6,2
1,2.958,,,1,34,5,4
1,2.901,,,1,45,6,3
1,2.737,,,1,27,6,4
2,2.679,,,1,30,5,2
6,2.417,,,1,25,5,2
6,2.29,,,1,35,6,1
11,2.281,,,1,27,5,4
1,2.15,,,2,31,5,3
6,2.041,,,2,23,5,3
1,1.959,,,2,25,5,1
6,1.847,,,1,22,5,1
1,1.767,,,1,28,5,4
1,1.699,,,1,27,6,1
1,1.539,,,1,25,5,4
,,4,724.766,1,26,5,1
,,1,289.332,1,54,5,1
,,2,182.346,2,47,6,3
,,11,142.133,1,34,6,4
,,2,119.006,1,44,6,2
,,1,114.298,1,28,6,1
,,4,92.089,2,43,5,3
,,6,91.729,1,28,5,1
,,5,85.761,2,35,6,4
,,1,83.348,1,25,5,2
,,6,82.643,1,20,4,1
,,1,81.162,1,39,6,4
,,6,79.752,2,30,5,2
,,3,77.535,2,24,5,3
,,6,76.31,1,36,2,2
,,11,75.667,1,28,6,4
,,11,72.223,1,26,6,5
,,6,69.236,2,22,5,2
,,1,69.067,2,51,5,3
,,11,68.131,2,57,5,4
,,5,67.075,1,30,5,2
,,1,64.652,2,59,2,4
,,4,64.408,2,40,5,1
,,1,64.228,1,25,5,1
,,1,63.325,1,63,5,3
,,1,62.938,1,26,6,1
,,2,62.679,1,26,5,3
,,3,60.251,1,31,5,3
,,3,60.16,1,26,5,1
,,1,59.477,2,41,4,1
,,6,59.181,1,23,5,3
,,11,58.566,2,23,6,2
,,5,57.575,1,48,5,5
,,6,56.648,1,28,5,5
,,1,55.596,2,31,6,1
,,1,55.388,2,37,5,2
,,6,54.781,1,22,4,2
,,1,54.588,1,30,6,3
,,1,53.715,1,30,5,5
,,1,51.822,1,27,6,2
,,7,51.371,2,33,6,3
,,6,51.282,1,26,6,1
,,6,51.13,1,24,5,1
,,4,50.734,2,46,5,2
,,6,50.232,1,56,5,4
,,1,49.854,2,33,5,1
,,1,48.828,2,32,5,1
,,1,48.507,1,29,6,2
,,1,48.471,1,29,6,1
,,11,47.668,1,34,6,1
,,6,47.549,1,29,6,1
,,1,47.533,2,33,6,3
,,6,46.274,1,26,5,1
,,3,45.957,1,23,2,2
,,6,45.351,1,34,5,2
,,1,45.3,1,35,5,1
,,3,45.175,2,27,5,1
,,6,45.136,2,35,6,3
,,1,45.088,1,28,5,1
,,11,44.808,1,28,6,1
,,1,44.766,1,34,5,1
,,6,44.72,1,27,3,2
,,2,44.453,1,29,4,4
,,6,44.229,1,26,5,5
,,6,44.12,1,37,5,3
,,1,44.117,2,27,5,2
,,1,43.945,1,22,5,2
,,11,43.536,2,26,4,4
,,11,43.511,1,25,6,2
,,11,43.222,2,22,5,3
,,1,43.182,1,25,5,3
,,6,42.528,2,36,6,3
,,1,42.44,2,34,6,4
,,5,42.068,1,27,5,2
,,4,42.064,2,39,5,1
,,4,41.764,1,32,5,3
,,1,41.582,1,25,5,4
,,1,41.359,1,35,6,4
,,2,41.21,2,28,5,5
,,11,41.152,1,30,6,1
,,3,40.761,1,21,5,3
,,1,40.68,1,31,6,1
,,6,40.44,2,34,6,5
,,6,40.426,1,26,6,2
,,6,40.381,1,27,5,1
,,1,39.912,1,26,5,4
,,11,39.808,1,23,5,1
,,6,39.436,1,34,6,4
,,1,39.253,2,34,5,1
,,6,38.78,2,52,5,3
,,1,38.763,1,66,2,3
,,1,38.718,1,29,6,5
,,1,38.673,1,23,6,3
,,3,38.584,1,21,4,2
,,11,38.567,2,26,5,1
,,11,38.488,1,50,5,4
,,2,38.123,2,33,6,1
,,11,38.055,1,25,6,2
,,1,38.054,1,26,6,2
,,4,37.978,2,58,6,3
,,1,37.935,1,32,5,4
,,4,37.753,2,45,6,5
,,2,37.64,1,25,4,4
,,6,37.589,1,25,5,1
,,11,37.562,1,25,6,1
,,6,37.472,1,26,5,1
,,1,37.458,2,26,5,4
,,11,37.364,2,47,5,3
,,11,37.001,1,28,5,1
,,1,36.798,2,30,6,3
,,11,36.785,1,44,5,2
,,1,36.762,2,25,5,5
,,1,36.569,1,29,5,1
,,3,36.505,1,23,5,4
,,6,36.369,2,43,6,5
,,1,36.344,1,26,5,1
,,6,36.176,2,28,6,1
,,6,35.805,1,30,5,5
,,11,35.72,1,23,6,4
,,3,35.711,2,53,5,1
,,6,35.628,1,26,5,3
,,4,35.52,2,32,6,5
,,1,35.319,2,42,5,2
,,1,35.311,1,27,6,3
,,1,35.215,1,31,6,1
,,1,35.103,2,47,3,3
,,1,34.41,1,26,5,2
,,1,34.374,1,24,5,4
,,11,34.353,2,25,6,4
,,1,34.289,1,34,4,2
,,6,34.244,1,26,6,1
,,11,34.178,1,59,5,5
,,4,33.935,1,36,6,2
,,3,33.823,1,62,2,2
,,7,33.669,2,37,5,4
,,11,33.664,1,32,5,2
,,2,33.612,1,24,5,2
,,6,33.595,1,31,5,1
,,4,33.592,2,33,6,4
,,1,33.437,1,40,5,4
,,1,33.435,1,22,5,1
,,7,33.432,1,31,6,2
,,6,33.413,1,36,5,1
,,1,33.403,2,23,5,3
,,1,33.354,2,27,5,1
,,1,33.348,2,39,5,1
,,6,33.317,1,27,6,2
,,3,33.283,1,28,5,4
,,1,33.278,1,34,6,2
,,1,33.249,1,69,5,1
,,6,33.187,2,40,6,5
,,1,33.136,2,27,6,3
,,6,33.122,1,29,5,2
,,1,33.117,1,55,5,1
,,2,33.082,2,32,6,2
,,1,33.049,2,26,5,1
,,1,32.971,1,35,5,4
,,1,32.927,2,27,6,5
,,,32.919,1,33,5,3
,,1,32.898,2,49,5,3
,,1,32.88,1,27,6,4
,,1,32.851,1,25,6,2
,,2,32.824,2,33,6,3
,,1,32.811,1,36,5,3
,,6,32.809,1,23,5,3
,,5,32.755,2,26,6,5
,,1,32.751,1,26,5,3
,,1,32.698,1,22,5,3
,,6,32.694,2,36,5,1
,,1,32.642,1,24,6,2
,,1,32.632,2,42,5,3
,,1,32.607,1,42,5,1
,,11,32.556,2,23,5,5
,,4,32.508,2,32,6,2
,,4,32.507,1,26,5,4
,,1,32.475,2,28,5,3
,,6,32.438,2,30,6,3
,,9,32.393,1,59,5,2
,,1,32.389,2,24,5,1
,,3,32.373,2,29,6,1
,,4,32.364,1,22,5,4
,,1,32.319,1,24,5,1
,,1,32.3,1,28,5,5
,,6,32.291,2,36,5,3
,,2,32.282,1,31,5,2
,,6,32.268,2,35,5,3
,,6,32.261,1,61,5,2
,,7,32.257,1,25,5,3
,,1,32.2,1,37,5,1
,,7,32.187,1,25,5,1
,,2,32.181,1,28,6,1
,,11,32.171,1,26,6,1
,,1,32.142,1,24,6,1
,,5,32.114,1,33,6,3
,,1,32.065,1,36,5,2
,,2,32.02,1,25,5,1
,,1,32.02,1,25,5,3
,,1,32.019,1,32,5,2
,,1,32.002,1,39,5,1
,,6,31.974,1,34,5,3
,,1,31.972,1,25,5,2
,,4,31.946,1,26,6,3
,,6,31.931,1,24,5,2
,,3,31.924,1,26,5,2
,,6,31.918,1,28,6,4
,,1,31.907,2,41,5,1
,,6,31.88,1,35,5,3
,,1,31.859,1,25,5,2
,,1,31.767,1,26,6,4
,,6,31.764,2,26,5,2
,,6,31.726,1,47,5,4
,,1,31.704,1,24,5,1
,,6,31.679,1,38,5,1
,,6,31.645,1,28,5,1
,,1,31.643,1,40,6,4
,,1,31.632,1,25,6,2
,,1,31.63,1,36,6,2
,,2,31.62,1,26,5,3
,,1,31.601,1,30,5,2
,,1,31.595,1,31,5,2
,,1,31.569,2,24,5,1
,,11,31.567,1,26,4,1
,,1,31.559,1,25,5,1
,,2,31.496,1,32,5,3
,,1,31.473,1,38,5,2
,,1,31.425,1,56,5,4
,,9,31.417,1,67,5,2
,,7,31.413,2,32,6,2
,,6,31.409,1,25,5,3
,,1,31.405,2,30,5,2
,,1,31.399,1,29,5,4
,,1,31.38,1,36,6,3
,,6,31.338,2,43,4,2
,,2,31.321,1,22,5,2
,,11,31.303,1,36,6,5
,,1,31.276,1,39,5,4
,,1,31.247,2,33,5,4
,,1,31.242,1,39,6,2
,,1,31.203,1,22,6,5
,,1,31.184,1,22,5,1
,,11,31.12,1,32,6,4
,,2,31.097,2,25,6,1
,,1,23.656,1,40,5,2
,,1,14.572,1,38,5,3
,,1,13.507,2,54,4,1
,,1,3.212,1,26,5,1
,,6,,2,27,6,1