ID,Sex,T1 openness,T1 agreeableness,T1 reactivity,T1 methodical,T2 openness,T2 agreeableness,T2 methodical,T2 reactivity,T2 extraversion,T2 dominance,T1 dominance,T1 exterversion
1,1,4.74,4.76,3.91,4.79,4.3,4.5,4.65,2.84,4.35,5.41,4.93,5.09
2,2,5.49,4.63,3.69,5,5.59,5.28,5,3.01,4.87,3.99,4.37,4.46
3,2,4.03,3.81,3.21,4.35,3.93,4.75,4.45,2.3,3.9,3.58,3.47,3.91
4,2,4.55,4.85,3.87,4.97,4.75,5.1,4.1,2.41,4.27,4.5,3.66,4.68
5,1,4.53,4.5,3.93,4.57,4.03,4,4.5,3.1,4.92,4.8,4.19,4.59
6,1,3.88,3.75,3.44,4.35,3.75,3.4,4.2,2.91,3.83,4.45,3.84,4.25
7,2,4.8,4.65,4.43,4.61,4.33,4.35,4.4,2.61,4.43,3.51,4.16,5.21
8,2,4.63,3.22,3.28,4.39,4.02,4.2,4.45,2.71,3.9,3.3,3.8,4.02
9,2,4.35,4.1,3.73,4.42,4.52,4.25,4.55,3.32,3.77,5.24,4.39,4.35
10,1,5.05,4.4,4.53,4.62,4.55,3.9,4.45,3.09,4.78,4.69,4.57,5.19
11,1,4.21,4.11,3.56,4.42,4.47,4.15,4.65,2.71,4.65,3.14,2.79,4.28
12,1,4.96,4.17,3.89,4.63,4.33,3.7,4.05,4.04,4.53,5.24,4.8,5.01
13,1,5.32,3.92,4.46,4.55,4.47,3.5,4.65,4.27,5.32,4.96,4.41,5.7
14,2,4.63,4.34,3.73,4.4,4.95,4.75,4.05,3.11,4.4,4.79,4.06,4.73
15,1,5.63,3.67,4.66,5.42,5.27,3.25,5.2,3.69,4.73,5.55,4.86,4.58
16,1,3.97,4.22,3.6,3.58,3.98,2.8,4.2,4.43,4.6,5.34,4.42,4.77
17,2,5.82,4.8,3.65,5.3,5.58,4.4,5.05,3.55,4.85,4,3.9,5.04
18,2,4.56,4.06,4.46,4.5,4.43,3.95,4.15,3.39,4.85,3.01,3.37,5.3
19,1,4.67,4.5,3.67,4.33,4.08,3.75,3.6,3.16,4.53,4.76,4.02,5.28
20,1,4.72,4.6,3.6,4.7,4.33,4.05,4.41,2.99,4.56,5.33,5.09,5.02
21,1,4.62,4.3,4.14,4.55,4.52,3.95,4.3,3.55,5.07,4.9,4.39,4.92
22,2,4.48,4.75,3.58,4.68,4.5,4.45,4.34,3.39,4.57,4,4.02,4.7
23,2,3.11,4.93,4.98,4.98,6.1,4.9,5.55,4.78,5.25,5.33,4.96,4.66
24,1,4.46,4.34,4.62,5.07,3.65,2.95,3.85,3.16,4.22,4.66,4.88,5.06
25,1,4.57,4.89,4.12,5.22,4.48,3.45,4.3,3.87,5.18,5.08,4.45,5
26,2,5.31,4.27,3.82,4.65,4.48,3.85,4.75,3.21,4.73,3.33,3.9,5.35
27,2,4.47,5.05,3.66,4.68,4.42,4.25,4.6,4.04,4.58,4.73,4.16,4.89
28,2,4.26,4.64,3.59,4.42,4.53,4.9,4.45,2.98,4.73,3.81,3.59,4.73
29,1,4.07,3.45,4.28,3.9,4.3,3.3,4.35,4.79,4.45,5.39,4.07,4.63
30,2,4.49,3.89,3.17,4.62,5.26,4.68,4.95,3.13,4.45,4.44,3.14,4.08
31,1,5.09,3.69,4.55,4.5,5.59,3.23,5,4.39,4.85,5.33,4.69,4.85
32,2,4.63,4.22,3.52,4.42,5.05,5.27,4.86,2.39,4.15,4.57,3.42,3.72
33,2,4.63,4.32,3.69,4.39,3.89,3.59,4.18,3.01,4.39,2.93,3.14,4.92
34,2,4.32,4.5,3.5,4.67,4.95,3.91,4.82,3.05,4.82,3.91,3.35,4.51
35,2,4.47,4.33,3.73,4.4,4.23,3.59,4.5,3.12,4.11,3.6,3.2,4.56
36,1,5.03,4.66,4.43,5.08,5.02,4.73,4.73,3.26,5.41,5.51,4.8,5.47
37,1,5.29,4.49,3.91,4.36,5.56,3.5,4.91,3.57,4.88,5.22,4.48,5.13
38,2,4.77,4.39,4.32,4.7,5.11,4.55,4.82,3.05,5,4.59,4.05,4.86
39,1,5.79,4.53,3.58,4.78,6.21,4.86,5.5,3.23,5.64,5.44,4.87,5.29
40,2,4.93,4.6,2.96,5.3,5.06,4.36,4.86,3.03,5.02,4.35,3.8,5.37
41,1,4.86,3.79,4.22,4.86,4.15,3.64,4.55,3.36,4.7,4.81,4.27,4.96
42,1,4.94,4.76,3.87,4.83,4.7,4.36,4.68,2.9,5.21,4.35,4.01,5
43,2,4.47,4.7,4.36,4.6,5.7,5.91,5.59,2.72,4.08,5.25,4.51,4.12
44,2,4.33,4.87,4.45,3.9,4.76,3.5,5,4.25,4.3,5.69,4.74,4.12
45,2,5.08,3.19,4.45,5.19,5.18,3.18,4.68,4.13,5.06,5.58,4.91,4.88
46,1,5.68,4.45,2.96,5.28,5.79,4.36,5.27,2.98,5.15,5.22,5.24,5.2
47,1,5.1,4.06,4.39,4.56,5.11,3.82,4.36,3.85,5.3,4.93,4.89,5.19
48,2,5.37,4.67,3.14,4.86,5.74,5.14,5.41,2.89,4.71,5.17,3.78,4.1
49,1,5.04,4.88,4.08,5,5,3.36,4.5,3.89,5.29,5.28,4.81,5.13
50,1,4.07,3.45,3.79,3.9,4.59,3.91,4.45,3.05,5.11,4.98,3.69,3.72